observation_date,RTFPNACOA632NRUG
1954-01-01,1.0395574569702148
1955-01-01,1.0279364585876465
1956-01-01,1.0050251483917236
1957-01-01,0.9711593389511108
1958-01-01,0.9514798521995544
1959-01-01,0.9852564930915833
1960-01-01,1.0016711950302124
1961-01-01,1.0155334472656250
1962-01-01,1.0280444622039795
1963-01-01,1.0251016616821289
1964-01-01,1.0647838115692141
1965-01-01,1.0389441251754761
1966-01-01,1.0500545501708984
1967-01-01,1.0489492416381836
1968-01-01,1.0665426254272461
1969-01-01,1.0862727165222168
1970-01-01,1.1019439697265625
1971-01-01,1.1099270582199097
1972-01-01,1.1419719457626345
1973-01-01,1.1656526327133181
1974-01-01,1.1752929687500000
1975-01-01,1.1407471895217896
1976-01-01,1.1419011354446411
1977-01-01,1.1346008777618408
1978-01-01,1.1787919998168943
1979-01-01,1.1890548467636108
1980-01-01,1.1851601600646973
1981-01-01,1.1483222246170044
1982-01-01,1.1156711578369141
1983-01-01,1.1029202938079834
1984-01-01,1.1072359085083008
1985-01-01,1.1059955358505249
1986-01-01,1.1247792243957520
1987-01-01,1.1301190853118896
1988-01-01,1.1263359785079956
1989-01-01,1.1153736114501951
1990-01-01,1.1270021200180054
1991-01-01,1.0992070436477659
1992-01-01,1.1144788265228271
1993-01-01,1.0979280471801758
1994-01-01,1.0865714550018311
1995-01-01,1.0827589035034180
1996-01-01,1.0665177106857300
1997-01-01,1.0641361474990845
1998-01-01,1.0463354587554932
1999-01-01,1.0017211437225342
2000-01-01,0.9933839440345764
2001-01-01,0.9967470169067384
2002-01-01,0.9779447317123412
2003-01-01,0.9835315346717834
2004-01-01,1.0005253553390503
2005-01-01,1.0002319812774658
2006-01-01,1.0093985795974731
2007-01-01,1.0058325529098511
2008-01-01,0.9928253293037416
2009-01-01,0.9797776937484740
2010-01-01,0.9841424226760864
2011-01-01,1.0047645568847656
2012-01-01,1.0042842626571655
2013-01-01,1.0172824859619141
2014-01-01,1.0294058322906494
2015-01-01,1.0134035348892212
2016-01-01,1.0088350772857666
2017-01-01,1.0000000000000000
2018-01-01,1.0011492967605591
2019-01-01,1.0146284103393557
